Ticker,Date,Spot_Rate,Qualifier,Qualifier_Description
index,,data_Value,qualifier,qualifier_Description
FBXD,2025-03-03,3970,CNAE,China North America East
FBXD,2025-03-03,2130,ENAE,Europe North America East
FBXD,2025-03-03,897,ESAE,Europe South America East
FBXD,2025-03-03,2460,ESAW,Europe South America West
FBXD,2025-03-03,519,PANA,China North America East - West Spread
FBXD,2025-03-03,2644,GLBL,Global
FBXD,2025-03-03,426,NAEC,North America East China
FBXD,2025-03-03,421,NERC,North Europe China
FBXD,2025-03-03,3451,CNAW,China North America West
FBXD,2025-03-03,4292,CMED,China Mediterranean
FBXD,2025-03-03,470,NAWC,North America West China
FBXD,2025-03-03,558,NAEE,North America East Europe
FBXD,2025-03-03,3012,CNER,China North Europe
FBXD,2025-03-03,530,MEDC,Mediterranean China
FBXD,2025-02-28,4289,CNAE,China North America East
FBXD,2025-02-28,4082,CMED,China Mediterranean
FBXD,2025-02-28,897,ESAE,Europe South America East
FBXD,2025-02-28,2130,ENAE,Europe North America East
FBXD,2025-02-28,2666,GLBL,Global
FBXD,2025-02-28,2528,ESAW,Europe South America West
FBXD,2025-02-28,838,PANA,China North America East - West Spread
FBXD,2025-02-28,3451,CNAW,China North America West
FBXD,2025-02-28,490,NAWC,North America West China
FBXD,2025-02-28,530,MEDC,Mediterranean China
FBXD,2025-02-28,613,NAEE,North America East Europe
FBXD,2025-02-28,3012,CNER,China North Europe
FBXD,2025-02-28,441,NAEC,North America East China
FBXD,2025-02-28,422,NERC,North Europe China
FBXD,2025-02-27,4292,CNAE,China North America East
FBXD,2025-02-27,461,NAWC,North America West China
FBXD,2025-02-27,422,NERC,North Europe China
FBXD,2025-02-27,4223,CMED,China Mediterranean
FBXD,2025-02-27,910,ESAE,Europe South America East
FBXD,2025-02-27,2658,GLBL,Global
FBXD,2025-02-27,2130,ENAE,Europe North America East
FBXD,2025-02-27,829,PANA,China North America East - West Spread
FBXD,2025-02-27,3463,CNAW,China North America West
FBXD,2025-02-27,441,NAEC,North America East China
FBXD,2025-02-27,613,NAEE,North America East Europe
FBXD,2025-02-27,2889,CNER,China North Europe
FBXD,2025-02-27,530,MEDC,Mediterranean China
FBXD,2025-02-27,2528,ESAW,Europe South America West
FBXD,2025-02-26,4303,CNAE,China North America East
FBXD,2025-02-26,423,NERC,North Europe China
FBXD,2025-02-26,4186,CMED,China Mediterranean
FBXD,2025-02-26,911,ESAE,Europe South America East
FBXD,2025-02-26,2130,ENAE,Europe North America East
FBXD,2025-02-26,840,PANA,China North America East - West Spread
FBXD,2025-02-26,2530,ESAW,Europe South America West
FBXD,2025-02-26,2686,GLBL,Global
FBXD,2025-02-26,3463,CNAW,China North America West
FBXD,2025-02-26,3042,CNER,China North Europe
